"County","Sector","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","Total Usage"
"PLACER","Residential","    1630.508325","    1595.175139","    1598.877143","    1446.878457","    1407.548116","    1463.242998","    1398.736149","    1363.292650","    1370.671232","    1367.407051","    1386.148287","    1353.387658","    1336.586432","    1369.591386","    1362.326158","    1327.737239","    1334.915440","    1262.951958","    1215.503378","    1145.191244","    1055.026730","     979.273700","     976.114008","   30747.090878"
"PLACER","Total","    3088.624407","    3033.149332","    2992.676990","    2913.899612","    2905.773582","    2969.875273","    2938.028323","    2894.880602","    2916.944823","    2880.878163","    2912.061937","    2893.632779","    2884.897765","    2951.538174","    3019.357052","    3004.120093","    2834.804130","    2695.002414","    2711.582302","    2557.183912","    2436.325531","    2275.639084","    2352.562383","   65063.438663"
"PLUMAS","Non-Residential","     100.512709","     110.417595","     115.740778","     115.807033","     112.628920","     103.190555","     106.225266","     103.070610","     102.343580","     110.609622","     126.465434","     117.909557","      97.813564","      98.988679","     114.148865","     112.364970","     120.319907","      91.418440","      92.954336","      99.285165","     122.358360","      93.942997","     109.121884","    2477.638826"
"PLUMAS","Residential","      99.795835","      99.775091","     100.259212","      94.506227","      93.047963","      98.420297","      96.620509","      90.996176","      98.212213","     101.247843","      97.640383","     101.367825","     102.029465","     103.299584","     103.620604","     103.562824","     103.450845","     102.505109","     101.278515","      96.153309","      96.899859","      92.753466","      92.930694","    2270.373848"
"PLUMAS","Total","     200.308544","     210.192686","     215.999990","     210.313260","     205.676883","     201.610852","     202.845775","     194.066786","     200.555793","     211.857465","     224.105817","     219.277383","     199.843028","     202.288264","     217.769469","     215.927795","     223.770752","     193.923549","     194.232851","     195.438474","     219.258219","     186.696463","     202.052578","    4748.012676"
"RIVERSIDE","Non-Residential","    8720.016764","    8389.538460","    7934.638383","    8085.191661","    8171.189819","    8157.182763","    8164.868098","    8100.383540","    8702.441246","    8471.018008","    8532.856660","    7772.579837","    7660.249050","    7837.396990","    8285.818097","    8251.077578","    8280.728479","    7839.403630","    7674.079514","    7284.225452","    6671.486246","    5734.913548","    6715.225913","  181436.509736"
"RIVERSIDE","Residential","    9060.556508","    8610.772069","    8844.552883","    7678.103798","    7643.105779","    7633.771197","    7171.032032","    7076.846074","    6770.338705","    6603.978912","    6675.007152","    6579.060398","    6337.176264","    6606.786959","    6772.664092","    6683.000356","    6902.634736","    5392.197944","    5018.870525","    5469.061636","    4832.840570","    4682.541278","    4908.392032","  153953.291899"
"RIVERSIDE","Total","   17780.573271","   17000.310529","   16779.191266","   15763.295459","   15814.295598","   15790.953961","   15335.900130","   15177.229615","   15472.779951","   15074.996919","   15207.863812","   14351.640235","   13997.425315","   14444.183948","   15058.482188","   14934.077934","   15183.363215","   13231.601574","   12692.950039","   12753.287087","   11504.326815","   10417.454826","   11623.617945","  335389.801632"
"SACRAMENTO","Non-Residential","    6277.272312","    6207.679065","    5907.905558","    6214.951203","    6209.838355","    6231.306291","    6034.556975","    6173.463852","    6242.654996","    6110.299094","    6103.081900","    6091.787991","    6179.000717","    6260.059740","    6391.040491","    6417.080853","    6238.386571","    6133.021491","    5916.885984","    5662.606087","    5461.094277","    5517.053512","    5593.337741","  139574.365056"
"SACRAMENTO","Residential","    5132.808312","    5050.957802","    5140.373465","    4696.814859","    4705.823910","    5152.318519","    4779.222387","    4722.169209","    4719.432126","    4679.896128","    4678.508016","    4628.597474","    4523.009215","    4725.395112","    4710.259563","    4650.150306","    4761.481143","    4575.788431","    4422.652058","    4378.942306","    4103.017070","    4034.798580","    4141.012395","  107113.428386"
"SACRAMENTO","Total","   11410.080625","   11258.636867","   11048.279022","   10911.766063","   10915.662266","   11383.624810","   10813.779362","   10895.633061","   10962.087123","   10790.195221","   10781.589916","   10720.385465","   10702.009933","   10985.454852","   11101.300054","   11067.231159","   10999.867714","   10708.809922","   10339.538042","   10041.548393","    9564.111347","    9551.852092","    9734.350136","  246687.793445"
"SAN BENITO","Non-Residential","     248.712461","     244.209047","     234.623740","     241.357256","     255.185968","     254.564901","     262.381106","     249.282830","     240.403744","     237.902492","     214.971768","     199.153036","     191.976362","     198.598724","     198.343987","     203.516642","     199.086680","     189.055341","     194.502215","     184.112811","     204.788273","     211.088498","     181.392988","    5039.210870"
